,word1,word2,prediction
0,abandon,frost,-74454.5954390993
1,abandon,railroad,-32661.60227239313
2,abortion,religion,-60729.32360894505
3,abstract,candle,-14678.499446469297
4,abstract,frog,-17749.567346839754
5,abstract,moon,-139569.63029255343
6,abstract,rally,-385205.4894858067
7,abuse,abuse,-0.0
8,abuse,disorder,-241760.62175424775
9,accommodate,adjust,-11373.306335450514
10,accommodation,accommodation,-0.0
11,accompany,walking,-168404.46161251207
12,account,explanation,-393323.70486534445
13,account,invoice,-508659.592669793
14,act,improvement,-661920.6274463732
15,action,adjustment,-1069100.1091184116
16,action,entrance,-989312.1476910104
17,activity,solo,-223481.67439412116
18,activity,variation,-299774.152795066
19,actor,amateur,-151097.1317464365
20,ad,track,-374129.9795966638
21,add,increased,-244684.6060952757
22,add,string,-378772.21511351643
23,addition,segment,-524239.69154767395
24,admitting,confess,-24070.01784378241
25,adult,dentist,-136462.84220255716
26,advance,advance,-0.0
27,advance,string,-246004.03090599933
28,advice,recommendation,-151720.26506370213
29,advised,murder,-414759.2362720816
30,aerial,clown,-21052.10421786869
31,africa,territory,-383098.5970347591
32,age,history,-687730.8225686859
33,agency,police,-2353915.5477280826
34,aim,intending,-144594.45684050268
35,air,cold,-1239605.0039395613
36,air,plasma,-1659483.7324511507
37,air,satellite,-1440834.13188958
38,aircraft,fleet,-279979.5896168148
39,aircraft,flight,-178102.57002637544
40,aircraft,yacht,-379559.18895344826
41,airplane,plane,-579960.9929046937
42,ale,bitter,-148787.62568170755
43,alley,street,-1171050.0823944274
44,aluminum,component,-15321.182460893753
45,aluminum,imperative,-37593.69447128087
46,american,lobster,-3694575.814820289
47,ammunition,intolerable,-79534.27724572604
48,amount,number,-1406908.075377702
49,amounted,make,-4133976.9791452703
50,amusement,athletics,-60508.89707307484
51,amusement,procedure,-107255.40897316116
52,anatomy,palm,-282339.93843060936
53,ancient,city,-3920363.622564364
54,angel,asphalt,-61816.89872518684
55,angel,pod,-73053.40992725798
56,angrier,stormy,-19047.721438534318
57,animal,asia,-468029.23475355736
58,animal,flora,-182606.4909853971
59,animal,giraffe,-193391.73173380506
60,animal,mural,-182821.0395906334
61,animal,wild,-80728.1274587732
62,animal,worm,-179764.88296939465
63,animal,zoo,-132532.23326421386
64,anniversary,marriage,-130616.16971876101
65,answering,counter,-97443.050362763
66,anxiety,insecurities,-70213.37823378119
67,apartment,staircase,-283948.05614407663
68,appliance,dryer,-10726.076589321952
69,appreciate,see,-2413583.97227629
70,approach,avenue,-290685.7044679015
71,approach,merit,-401318.4548036634
72,approach,trench,-437908.24026843806
73,approval,encouragement,-424485.47099989204
74,approving,interaction,-15021.859971388389
75,aquarium,coin,-12534.749379225716
76,arch,brick,-43683.9560136213
77,arch,roof,-147411.39775132737
78,architecture,urban,-140992.3403947889
79,area,space,-926470.7803460415
80,argument,evidence,-768221.1841195232
81,arm,bicycle,-223919.02013897817
82,arm,television,-1063476.516125297
83,arrange,discard,-50066.04877559235
84,arrange,study,-861351.8128267908
85,arrangement,blizzard,-81579.56372155964
86,arrangement,room,-908310.4333921316
87,art,craft,-802012.3448962619
88,art,gem,-872238.4903465329
89,art,museum,-313380.0756876543
90,art,painting,-761035.5700517544
91,article,cup,-1026773.341953329
92,article,girl,-194109.91415432672
93,ash,bone,-63488.43960911295
94,ash,coil,-33799.903446607816
95,asphalt,crane,-15176.07034116543
96,asphalt,water,-1264225.7461640327
97,assets,exclude,-369391.2729180263
98,association,organization,-163092.69296016902
99,association,realtor,-1025007.7455141485
100,asylum,dollar,-918135.9617545754
101,asylum,shelter,-26585.04338909368
102,athletics,racing,-168463.2466385474
103,athletics,swimming,-28919.64268451476
104,attempt,give,-1200746.8279587491
105,attempt,initiate,-592614.4702527943
106,attitude,notice,-29284.633103387197
107,attitude,study,-763462.3753565073
